id,date,day,value,month
1,01-01-2010,1,1,0
2,02-01-2010,2,1,0
3,03-01-2010,3,0.1,0
4,04-01-2010,4,2,0
5,05-01-2010,5,0.1,0
6,06-01-2010,6,0.1,0
7,07-01-2010,7,0.1,0
8,08-01-2010,8,0.1,0
9,09-01-2010,9,0.1,0
10,10-01-2010,10,0.1,0
11,11-01-2010,11,0.1,0
12,12-01-2010,12,2,0
13,13-01-2010,13,2,0
14,14-01-2010,14,2,0
15,15-01-2010,15,0.1,0
16,16-01-2010,16,1,0
17,17-01-2010,17,1,0
18,18-01-2010,18,1,0
19,19-01-2010,19,0.1,0
20,20-01-2010,20,0.1,0
21,21-01-2010,21,9,0
22,22-01-2010,22,3,0
23,23-01-2010,23,2,0
24,24-01-2010,24,1,0
25,25-01-2010,25,4,0
26,26-01-2010,26,6,0
27,27-01-2010,27,2,0
28,28-01-2010,28,2,0
29,29-01-2010,29,2,0
30,30-01-2010,30,6,0
31,31-01-2010,31,2,0
32,01-02-2010,32,9,1
33,02-02-2010,33,1,1
34,03-02-2010,34,2,1
35,04-02-2010,35,5,1
36,05-02-2010,36,4,1
37,06-02-2010,37,14,1
38,07-02-2010,38,4,1
39,08-02-2010,39,9,1
40,09-02-2010,40,3,1
41,10-02-2010,41,5,1
42,11-02-2010,42,5,1
43,12-02-2010,43,5,1
44,13-02-2010,44,3,1
45,14-02-2010,45,11,1
46,15-02-2010,46,9,1
47,16-02-2010,47,6,1
48,17-02-2010,48,11,1
49,18-02-2010,49,7,1
50,19-02-2010,50,3,1
51,20-02-2010,51,1,1
52,21-02-2010,52,5,1
53,22-02-2010,53,5,1
54,23-02-2010,54,1,1
55,24-02-2010,55,6,1
56,25-02-2010,56,4,1
57,26-02-2010,57,4,1
58,27-02-2010,58,3,1
59,28-02-2010,59,3,1
60,01-03-2010,60,4,2
61,02-03-2010,61,5,2
62,03-03-2010,62,5,2
63,04-03-2010,63,4,2
64,05-03-2010,64,2,2
65,06-03-2010,65,6,2
66,07-03-2010,66,4,2
67,08-03-2010,67,5,2
